(Threshold 1 (Usual care)),(Threshold 4 (SF < 110))
86888.90314,99615.48129
66215.95379,83045.9134
68982.47522,78594.2787
89492.90385,104073.0795
78217.31178,93504.00236
73646.66727,89571.02597
90092.97972,97185.13655
76073.13723,72392.94866
70978.09845,78648.11082
75771.18433,77167.10969
80938.8558,94525.70255
70965.95729,82112.58643
73588.93171,88669.88745
75525.18567,87934.27959
70710.28839,81286.75294
77552.90349,94159.87872
86684.83966,82114.81687
77495.07804,93213.65226
67963.76971,83956.71501
79086.87613,89229.30303
73962.06073,88948.53868
79997.61256,83936.14357
71396.24721,76150.99557
81354.81944,85919.39809
75376.76923,99617.00752
67370.55363,78183.33861
81089.76051,97013.33446
72938.96029,86496.69974
67893.98632,70610.41284
72422.66754,81016.50407
75064.45402,87193.83186
60263.23578,80438.26182
75768.36766,95224.79387
80160.64623,87452.78363
74506.85534,96732.65411
82435.63229,96998.84171
77653.05578,80403.24383
69777.87412,74202.31765
78892.81455,90600.23503
75658.88399,82473.9023
71913.31764,93671.48045
83294.10316,101238.7997
69516.87528,83115.2511
70843.24306,82210.89896
77188.47821,83305.10376
62595.72953,83255.48081
71987.43675,86221.65163
83744.45417,99230.14359
65691.98661,84811.82061
79197.18051,92019.78397
71201.13946,82691.79449
73511.47212,83830.20978
73265.96206,82047.76698
65597.4538,83147.46132
80485.62027,88592.16831
77586.02372,94258.06273
78210.78014,98545.61539
78769.18605,93264.57194
81528.59803,92623.25773
62705.21683,77513.54635
83238.3553,99142.14377
76872.75072,92380.91629
64798.72496,73136.72146
70882.8956,78111.90386
78083.24046,89271.35657
74928.74078,83185.26981
95482.80176,101195.2822
70123.02883,82146.91137
78047.08182,91250.9824
70655.45783,84497.5982
84822.03897,95736.32671
64460.34395,71423.40282
78193.89707,86399.44506
64856.98758,69239.07671
82155.69368,86203.14065
76555.88796,86913.26852
77384.00364,87190.72551
77582.92847,102201.9212
62518.1638,79495.2458
78786.96089,86823.62147
78654.93031,84085.82253
74177.23469,95926.29442
70637.23218,89541.64795
63563.00861,77178.80854
84284.99302,94719.793
84329.41759,94900.81785
77968.07526,92703.40447
71365.85322,80578.06658
79430.54497,91693.08258
69427.96382,84259.29631
73869.8466,78707.56689
84043.72354,92066.81369
72027.95649,88137.61198
72454.82028,88428.27292
72574.86932,85666.36744
76662.15106,87308.21256
76947.58113,87006.87263
73843.33473,85361.79251
74116.93872,89614.02607
72699.51332,87863.69215
75042.29833,91698.7843
62097.8931,75349.18696
74988.48723,89244.25662
63844.12529,74500.68423
66880.77528,84544.55105
70037.2802,77529.0002
65897.74582,77580.81195
88116.7733,100069.7206
72398.30645,88845.74197
75456.33518,90988.37715
75670.17819,87062.97055
64053.66332,87698.2376
79294.30175,87078.37561
89310.54617,99109.13493
78700.47748,91588.71765
67553.5859,73785.66966
75144.53193,89372.5504
84598.25975,97053.33622
75834.2366,82839.26738
78790.53671,89364.95575
84498.36117,94861.19717
89389.49162,110711.3854
76887.74263,86421.2225
69156.67349,83025.38488
76996.42664,89769.4835
90347.20119,86265.52899
63445.25681,76792.2146
78120.93189,97576.17237
78829.00942,86771.57761
68307.75863,84053.13673
79889.65838,85305.43706
84317.07255,88782.85218
70291.81865,102151.0073
69433.73204,83475.63876
73891.0557,84377.30244
71202.99091,81504.36249
73880.48732,77250.45061
74098.38768,85095.74932
77182.61465,84215.01032
78563.31192,89369.81033
73242.8223,82552.25529
76371.89014,79791.0018
68599.31899,79610.42771
81634.59157,88551.30604
73632.32967,89070.20337
66735.43712,82305.23454
70001.2288,76689.39265
73746.77947,85965.90963
70853.21407,83078.05869
71933.85248,93742.19333
82571.73694,78680.34837
71163.44877,78415.07029
77731.91074,92211.1587
74836.24043,86513.31276
72260.20724,78643.24235
69547.53527,79379.61467
73049.28308,85113.7798
82183.22331,93053.57838
68264.04419,77840.27838
88237.32138,95365.49716
71005.80039,83773.86641
71543.99965,80061.17206
74958.09098,88692.27657
70032.27416,80949.26941
76103.74779,83363.453
78221.7839,94624.4658
74462.91349,87760.39711
79368.991,88219.03621
87551.29853,97863.04831
77705.4178,83686.92887
86051.08861,100887.094
63610.97,83238.86037
74703.49358,90719.80425
78465.59489,91759.64135
71396.5773,81369.78856
80441.31978,90844.20689
76890.50521,89088.66077
76837.4837,95565.45215
68578.43206,88441.60348
79997.79254,84811.43253
83854.72169,96117.81721
74508.73607,94930.14823
80905.82029,81582.10202
83523.91896,96021.39407
73558.59214,82589.06785
76381.18113,90369.45631
81910.08927,89821.30383
62594.96992,70694.59778
74835.19272,78819.3173
72759.86302,75394.64085
71617.56699,84634.37271
82666.7645,88124.25699
80016.93541,93732.29424
79931.79819,95420.81579
66798.67715,80956.55458
75302.56933,83954.65948
70749.11509,78182.64723
84345.00874,100463.0199
71476.26655,82613.64464
74342.96169,88753.42222
70620.32373,81366.91282
81085.77182,91005.24079
75807.86133,91563.46876
74832.16647,91284.57425
74742.80831,88551.176
82554.13767,92364.55175
73795.1259,80289.48265
73631.69412,85679.91917
72471.47132,78339.58981
87668.90396,94349.60403
73705.78215,84697.39773
66818.58465,84595.6455
78619.71529,91962.30573
74051.33328,96215.09048
80449.30694,96918.76115
72940.7919,80488.31592
82336.00217,93756.77957
74433.28209,88899.50228
73405.87067,75679.66342
80778.78306,99989.9711
68458.20231,86406.45445
