(Threshold 1 (Usual care)),(Threshold 4 (SF < 110))
8.163861541,8.412866961
7.976093078,9.096829462
7.594523793,9.740107808
5.507785611,7.708948576
10.48459572,9.861263358
8.645950883,9.347314567
7.344326355,10.10196454
7.356101222,9.645177076
8.458831898,9.205446882
8.968287105,8.19186097
8.635092825,9.298654907
7.094720372,7.131027784
7.360924296,8.804081218
6.586212208,8.650744161
6.435374287,5.850647368
7.975953033,8.06038788
6.622992291,9.037144518
9.079749217,7.952968049
9.783521259,8.622218167
9.609265169,7.342245714
9.331288428,8.21309356
8.96380761,7.601593852
9.678114641,9.751594057
9.343043027,7.989165981
6.56812599,10.02013239
7.227871452,9.172354982
7.775550296,7.788657328
9.241144767,8.491741757
9.61743633,9.464624139
8.3558566419999991,8.595467747
8.967045652,6.790756127
7.262947963,7.030894248
10.02946771,9.293060382
9.09494476,7.880651669
7.407537691,6.882092192
6.794917497,8.109974949
9.109828031,9.482766126
6.907196925,6.481414659
8.851722697,6.983297483
10.44311133,10.83647108
5.891125557,9.978727357
8.269431678,9.771617756
7.068401816,8.82216965
6.627639026,8.798939456
7.658515005,10.15845625
8.100089876,8.945833425
6.698558445,7.345670904
7.909459207,8.512116577
7.018657984,8.470387556
9.282585349,8.883072963
8.2207529,9.752010298
10.77408077,11.72121483
9.601020456,7.329505002
5.694041825,8.263717776
8.596282439,7.358691049
7.918113357,9.845346958
5.555861738,6.840133733
9.97655151,8.000974681
8.120951412,4.499871702
8.594914454,7.455358722
8.130573302,9.546587806
8.0984135,8.829194297
8.467407374,7.679937393
7.786963939,6.142393496
9.630338412,9.155134726
9.482788948,11.20069871
9.855866154,8.129898031
9.682389005,8.827884985
8.135833146,8.447219148
5.71611403,10.25642671
6.987863106,9.068219163
8.07965003,5.763439832
9.03893778,8.306196466
8.619234758,7.349391077
7.825772797,8.336889979
9.74006018,9.472526157
8.784595206,9.80684101
7.814117307,9.363541823
8.946099606,9.555958254
7.895913672,5.576370352
8.712684441,9.098960454
7.355710507,8.445751149
8.053686689,5.922259937
7.875772464,6.660581025
10.07574385,9.7135043
8.895798963,8.5326447
8.621419101,9.964429261
9.046589076,8.207402619
8.458613716,7.580944102
6.405466357,10.02960711
6.906762529,6.987076188
