"Cost
(Threshold Usual care)","Cost
(Threshold SF < 88)"
78554.38048,65458.88858
74801.83413,70053.96965
73380.08117,71893.96087
65652.95363,63626.0024
77012.09135,74802.99246
80240.31355,70801.19076
78333.11914,73874.03675
79149.16623,74404.6868
72997.37809,70670.526
64475.66532,72960.8332
70697.25417,67867.13119
76359.53062,83485.07555
76226.21993,74250.38282
81438.66123,78020.90139
78097.03469,75062.98996
78760.21038,71809.98156
72334.53,67195.47131
76787.93621,72158.79808
87800.28017,80520.53698
75144.27601,75528.99312
76803.53097,73495.72408
67266.62178,65103.47144
79432.77368,73073.07324
77177.92532,73840.69087
73417.83891,72210.79277
74549.82601,67983.06636
69394.1984,68355.96796
73031.0418,69178.08122
71399.46385,67767.49819
75417.82478,75516.20587
65405.31566,69156.76602
71653.86992,65815.97799
85037.92933,71518.47162
71685.98097,71670.38792
74553.60601,67367.91113
76188.55109,73377.44085
79214.2175,79247.87494
74675.62276,66112.59297
72092.7849,68085.53145
74221.30951,72113.34262
79249.09527,64785.35497
66530.58532,63757.9823
70764.366,77570.08398
75359.69939,71080.0303
79704.73301,84071.03799
77363.27267,77940.69486
82357.29279,82079.32937
74420.46455,74328.36648
71330.92702,71386.5923
81094.3096,73663.68756
70732.87585,70186.48418
81878.54634,69467.8206
77457.45905,70005.68705
60771.16807,64081.301
81551.12605,83757.10911
64507.79066,64490.90793
77172.79325,74239.3298
71467.81178,60399.48853
82895.85795,74582.95375
80068.39032,79222.59778
70028.14826,65486.40732
71490.50805,65200.35601
64136.82354,57148.82438
99008.56515,84966.46426
67911.10681,65757.02891
78159.10897,72792.41504
78723.77447,77654.31313
68703.46425,71609.56238
73753.60092,72242.50826
81529.04783,85193.40029
75662.15249,71620.37039
67156.6588,67512.51513
80419.15102,76915.58795
83884.87974,73298.63158
66347.35695,61670.74531
72156.84435,66660.35502
71706.74401,66037.10922
83678.62303,83031.8751
70821.39685,69269.32364
77756.35027,70499.85988
77110.48912,76024.224
81220.12725,74740.97598
61149.54379,60984.15988
83419.55373,75602.33264
79205.69968,71021.04237
77950.24992,74146.92749
73293.91175,65477.40464
65199.59181,65836.98415
82711.14733,71800.43008
70259.67703,67651.53919
80753.99675,77361.90519
72397.49801,70873.77569
70063.20823,63667.32795
71852.43506,69167.27543
79857.41697,79479.14958
66946.03298,62896.77212
65159.61046,65185.90368
74153.86953,71921.29649
78095.8234,73459.23163
70363.48788,65045.11225
71058.80359,68440.6786
73139.17356,66446.1486
74476.75319,70371.86772
80180.79012,67535.59583
91763.11976,88369.57255
68900.00376,70375.98979
75859.75065,69125.80023
78459.94521,77746.66775
64304.32069,66798.72505
69097.6713,68693.15142
80021.4503,79250.80495
72214.65218,70807.145
71966.40637,80156.24097
66716.11212,68771.16343
79610.74952,73227.83935
85039.2796,82791.79315
66118.04215,61961.24095
70552.89654,67095.44411
76777.55126,75748.85894
76750.50337,72111.01653
67828.97418,64324.00652
76551.79553,75297.68345
66998.34138,62110.89591
66000.38733,66972.05463
84185.7099,74370.72428
69150.27056,64039.4949
74886.08238,70605.61998
68842.25334,67624.14326
59750.36578,65804.02674
73851.19744,75096.5134
70953.63857,65006.59466
69676.28209,66325.53826
69857.33556,68809.97735
80939.10877,67986.50043
65721.19319,64341.58779
76632.86758,69801.69505
73845.34192,69198.24517
75237.87568,81091.70605
92639.64097,79976.66238
75358.19843,70800.35474
89737.77508,81488.25444
76178.1817,77519.75139
80385.82953,73978.72887
73145.00736,64227.19121
77340.41302,74666.56646
64408.60084,66139.33337
77462.69395,75432.6102
67394.43209,58716.63576
63020.96178,63451.94603
87586.21332,74816.98088
75143.48397,63675.59038
58649.18238,61987.113
76860.81813,69348.38799
62808.11957,67312.1883
65172.33975,60743.48792
75897.18017,78042.90067
67149.52808,64757.84809
65650.53512,66741.42592
69161.6931,69787.65647
66492.32565,63410.99179
77639.9747,75193.94598
80222.65012,74469.09747
71414.37335,78847.47186
73280.80846,63513.17636
68945.40884,73768.49151
81964.51164,71070.35443
66150.04032,78555.9233
72364.34925,69080.80349
73380.60165,69448.69997
77229.95088,77170.91498
76884.94354,72185.81433
65801.19304,65290.62659
66938.1677,68372.02019
75711.92038,76863.56967
72329.83566,71821.64635
68427.27482,72128.35698
74004.02351,67555.10316
69578.94958,69719.11608
71159.64564,74207.78308
78779.97594,72218.7882
62348.97808,69834.5847
78997.81097,72103.21292
81607.84221,76357.58065
64159.40181,59379.10736
68732.74092,69389.20486
83573.89867,75004.25486
78188.86569,71671.62047
66476.67244,68180.27082
76745.49286,76255.97882
76123.98708,79646.02367
82182.33132,88106.95517
75429.3217,70352.05363
89698.75419,77947.72924
77742.22792,66348.00146
77057.39893,73981.36686
73901.49082,71481.7514
70648.79975,71621.24555
72274.16003,77394.83687
80192.20802,79008.80438
83759.17989,86706.18156
71710.41911,61912.3831
70069.26869,69337.11505
69275.80477,68853.44726
84211.83648,86126.32762
76213.87737,69394.02091
84434.78119,84643.37681
68827.39431,62924.13279
76630.27745,72434.76414
84015.60929,87196.88372
70610.31181,68752.64155
80491.87954,74445.44237
67427.82022,63903.84858
76757.15794,77730.90293
71591.1678,72362.47278
65059.90975,60991.32896
73982.52829,71781.42967
80181.22148,72159.84246
81782.81803,74091.70507
76169.97842,75185.7048
80266.21437,69026.90827
76006.58874,74000.98036
80212.10304,71007.81022
83303.31143,78682.95011
71274.77731,68509.55275
71640.48211,66707.64253
84151.51429,82172.01149
70820.8326,70051.69902
69996.30353,67119.48262
67999.83628,63331.35034
62604.36582,61112.41572
72718.49228,66332.98215
74775.86007,69746.56429
86564.45287,73436.11363
75716.81494,75965.25425
65085.76961,65620.71495
83280.93446,72002.88601
67327.44039,72836.51432
