"Effectiveness
(Threshold Usual care)","Effectiveness
(Threshold SF < 88)"
9.267294133,8.303241454
9.907671804,7.72967673
9.318399601,10.07296192
8.980304601,9.113676793
8.159245717,8.382192478
6.152260606,7.011775835
8.350176404,7.542394102
7.404819795,8.949663763
7.753443191,7.793840677
10.28317632,10.97787336
6.779781629,7.574189749
6.906545297,8.954889495
6.067267231,8.604612806
8.50837867,9.167173593
8.733421564,8.095971161
4.06604571,9.23022919
8.020586013,5.954350877
7.440395232,7.775649716
7.3442839,7.192641491
7.350669169,7.551002815
8.747005809,9.066243031
9.372116498,5.924531866
8.193950626,10.10735067
7.79619457,9.142925096
8.390062881,9.462651164
8.638230884,8.370048551
8.248995774,10.03893753
7.647274417,6.95394694
11.45365718,8.97892404
8.95608484,7.994632987
6.302315688,7.1911588890000004
8.509105878,6.293289518
5.463287794,9.652558527
8.142175721,9.24427434
5.668841522,7.849180834
10.65712274,10.60743434
8.277066666,8.28986282
5.823818836,7.442547249
5.446973389,5.512144391
6.622249627,6.558739076
7.538701029,9.261556315
8.882637389,6.764808187
8.45502967,10.57319539
7.897429139,9.042461329
11.21117662,8.839843653
4.567150769,8.699888457
6.745909256,7.474554322
7.040165324,7.198701631
7.984428946,8.865457115
9.561232404,8.26901215
8.99781184,9.584902036
6.160792346,9.099283723
10.72506172,8.786294639
8.484009751,9.588166984
9.339921916,8.886333574
8.549456263,9.400214531
7.348348744,9.149288851
8.20398689,9.311582324
8.678782444,7.929217469
7.726905806,5.061086246
11.7192529,9.150978591
9.417517944,9.251350902
6.706401512,7.438883181
8.752900219,9.799324119
8.274928968,10.79714794
6.478552415,9.223840078
8.061358705,7.728443304
5.979274553,7.830393267
6.332907695,6.989500362
5.626211406,8.567473368
7.639770089,7.075255688
5.976490283,7.578082328
8.772688317,8.001325645
11.87685708,9.537134382
5.677302481,6.79484411
8.901714865,9.328865074
9.537819295,7.304073047
6.762808914,7.013260535
8.103602511,7.604314599
8.571760368,7.742281559
7.34740854,7.279702773
11.33597728,10.67402903
8.931114499,7.947896316
6.603077604,7.895643196
7.319441595,3.512987079
7.804846768,7.288876653
9.616514662,10.517629
9.469470823,10.41265662
8.990744427,7.424160535
8.327862204,9.980619258
8.180179942,9.112912879
8.452799527,7.573875254
9.775070067,10.50228818
9.074959559,7.248310361
10.48544107,11.68155908
7.89642931,9.367964688
8.202560543,7.970777793
7.279924893,7.273692272
6.532024274,7.0588925830000004
9.123300922,8.642661316
10.70821935,5.987346367
5.9595135,7.305667637
8.656620493,6.53170755
8.495349801,11.07545038
10.12374212,9.698018721
8.614707571,6.021948436
8.611487553,9.850267177
5.697617387,7.452156183
5.897055958,5.93363952
7.814406733,7.030498457
8.876787024,7.879178288
7.561368664,8.406935565
5.393960177,6.369106927
8.552026953,7.835374332
8.396927575,5.431302061
8.144541647,8.92576616
7.341530513,8.145151195
7.853089696,7.348277596
7.137532875,6.147055421
9.116619906,8.28475271
8.810941146,9.483070543
8.526805987,7.497438044
8.929236848,9.657466926
8.107509407,8.593673688
9.748266767,8.755832856
8.363033944,7.678782116
7.510194389,9.446749861
8.893215602,6.856407034
9.295152752,8.175462455
8.641634605,7.074236499
8.391843908,10.2579195
7.820968297,8.024606414
6.751431765,4.591106883
9.196118031,7.489760172
9.282293131,9.612712891
10.42954454,5.831552104
10.17094017,9.90032053
8.185697874,7.579275428
9.306203673,8.164020923
7.722695566,7.900710401
8.090119933,9.19988924
7.639962492,7.240173755
10.09967465,9.328406329
8.088680905,7.261997747
7.932473452,9.855880643
10.28194552,8.080277172
8.917762332,7.017629797
10.14007556,8.632902612
10.25555551,10.72171929
5.755521495,8.760149395
6.667482508,11.79374141
9.958367696,9.775946604
9.186583534,8.032644487
8.740317885,6.93028695
9.857465176,8.131702765
8.816207158,7.510866424
10.00877557,8.997097154
8.491569725,7.28774737
7.855392107,7.390381595
9.375317487,8.223407475
9.282126456,8.155487082
